Season (raw),Hero (raw),Role (raw),Assists (raw),Assists - Most in Game (raw),Critical Hit Damage (raw),Critical Hit Damage - Most in Game (raw),Critical Hit Kills (raw),Critical Hit Kills - Most in Game (raw),Critical Hits (raw),Critical Hits - Most in Game (raw),Critical Hits - Most in Life (raw),Damage Done (raw),Damage Done - Most in Game (raw),Damage Done - Most in Life (raw),Deaths (raw),Defensive Assists (raw),Defensive Assists - Most in Game (raw),Eliminations (raw),Eliminations - Most in Game (raw),Eliminations - Most in Life (raw),Final Blows (raw),Final Blows - Most in Game (raw),Games Played (raw),Games Tied (raw),Games Won (raw),Healing Accuracy - Best in Game (raw),Healing Done (raw),Healing Done - Most in Game (raw),Hero Damage Done (raw),Hero Damage Done - Most in Game (raw),Hero Damage Done - Most in Life (raw),Hero Wins (raw),Kill Streak - Best (raw),Melee Kills (raw),Obj Contest Time (raw),Obj Contest Time - Most in Game (raw),Objective Kills (raw),Objective Kills - Most in Game (raw),Objective Time (raw),Objective Time - Most in Game (raw),Offensive Assists (raw),Offensive Assists - Most in Game (raw),Scoped Accuracy - Best in Game (raw),Scoped Critical Hit Kills (raw),Scoped Critical Hits (raw),Scoped Critical Hits - Most in Game (raw),Self Healing (raw),Self Healing - Most in Game (raw),Solo Kills (raw),Solo Kills - Most in Game (raw),Time Played (raw),Time Spent on Fire (raw),Time Spent on Fire - Most in Game (raw),Ultimate Damage (raw),Weapon Accuracy - Best in Game (raw)
Season 02,Winston,Tank,9,2,0,0,0,0,0,0,0,"4,601","3,045","2,086",4,0,0,11,8,4,2,2,1,0,0,0,0,0,"3,709","2,576","1,807",0,4,5,53,50,6,5,53,50,0,0,0,0,0,0,0,0,0,0,339,0,0,0,1
Season 02,Zenyatta,Support,53,34,0,0,6,3,51,20,6,"35,195","10,159","3,672",38,118,32,74,15,10,21,7,4,0,1,0,"46,134","10,421","27,662","6,463","2,565",1,10,0,56,16,31,8,429,108,65,20,0,0,0,0,948,168,3,2,"3,453",0,0,0,0
Season 03,Ana,Support,300,42,0,0,0,0,0,0,0,"142,425","7,785","5,244",184,471,34,395,31,14,95,8,32,0,14,0,"326,394","22,145","106,632","7,593","4,041",14,14,0,573,57,179,20,"2,392",262,336,28,1,0,0,0,"8,080",672,4,1,"22,736",0,0,0,0
Season 03,Ashe,Damage,107,3,0,0,51,5,199,20,9,"158,665","10,652","6,644",107,0,0,254,22,10,147,12,13,0,7,0,0,0,"130,353","8,569","5,007",7,10,0,314,39,88,8,921,130,0,0,1,50,162,15,0,0,19,2,"9,215",0,0,0,1
Season 03,Baptiste,Support,92,31,0,0,13,5,171,28,12,"59,576","7,934","3,443",84,246,31,145,18,9,53,10,13,0,7,1,"160,444","20,487","42,993","5,054","2,253",7,9,0,566,187,76,12,"1,381",255,33,6,0,0,0,0,"13,518","1,580",7,2,"9,133",0,0,0,0
Season 03,Bastion,Damage,386,6,0,0,21,2,639,36,13,"649,936","33,847","13,118",247,0,0,770,37,17,384,22,30,1,16,0,0,0,"433,958","20,253","8,918",16,17,0,827,119,332,18,"2,861",253,0,0,0,0,0,0,0,0,41,4,"23,300",0,0,0,1
Season 03,Brigitte,Support,17,11,0,0,0,0,0,0,0,"9,914","2,740","1,642",13,39,0,28,8,5,9,4,2,0,2,0,"16,334","4,933","8,795","2,425","1,537",2,5,0,102,39,13,4,112,39,10,0,0,0,0,0,"2,313",0,2,1,"1,141",0,0,0,0
Season 03,Cassidy,Damage,78,0,0,0,19,5,92,13,9,"104,718","11,374","5,361",63,0,0,180,25,13,102,15,11,0,6,0,0,0,"90,052","11,374","4,140",6,13,0,184,28,55,10,260,67,0,0,0,0,0,0,0,0,10,2,"5,489",0,0,0,1
Season 03,Hanzo,Damage,78,12,0,0,45,9,97,20,8,"95,768","19,525","9,243",61,0,0,188,39,20,110,22,8,0,6,0,0,0,"73,929","14,371","6,889",6,20,0,280,102,73,13,623,114,0,0,0,0,0,0,0,0,17,3,"5,981",0,0,0,1
Season 03,Junkrat,Damage,6,5,0,0,0,0,0,0,0,"10,934","8,969","4,128",7,0,0,19,17,6,12,10,1,0,0,0,0,0,"7,398","6,110","2,894",0,6,0,31,31,13,11,49,39,5,5,0,0,0,0,0,0,1,1,540,0,0,0,0
