Season,Hero,Role,Assists,Critical Hit Kills,Critical Hits,Damage Done,Deaths,Defensive Assists,Eliminations,Final Blows,Games Played,Games Won,Healing Done,Hero Damage Done,Hero Wins,Kill Streak - Best,Obj Contest Time,Objective Kills,Objective Time,Offensive Assists,Self Healing,Solo Kills,Time Played,Time Spent on Fire
Season 03,Cassidy,Damage,78,19,92,104718,63,0,180,102,11,6,0,90052,6,13,184,55,260,0,0,10,5489,0
Season 03,Hanzo,Damage,78,45,97,95768,61,0,188,110,8,6,0,73929,6,20,280,73,623,0,0,17,5981,0
Season 03,Junkrat,Damage,6,0,0,10934,7,0,19,12,1,0,0,7398,0,6,31,13,49,5,0,1,540,0
Season 03,Kiriko,Support,181,26,195,86387,177,641,256,75,34,14,390157,63970,14,12,1151,112,2690,219,0,5,22416,0
Season 03,Lúcio,Support,192,6,181,72264,86,185,225,31,17,10,151822,54989,10,10,1265,111,1466,124,23784,1,9670,0
Season 03,Mei,Damage,122,0,0,321469,70,0,189,67,9,4,9983,73309,4,14,778,92,832,89,9983,3,6083,0
Season 03,Mercy,Support,19,1,13,4255,69,335,31,12,15,9,164388,3273,9,2,440,12,834,117,10117,1,9645,0
Season 03,Moira,Support,462,0,0,170824,160,695,602,140,33,15,447454,149168,15,17,1276,297,2671,0,57067,14,21859,0
Season 03,Orisa,Tank,11,0,0,8178,4,0,18,6,1,0,0,6968,0,6,184,12,184,6,0,1,418,0
Season 03,Pharah,Damage,22,0,0,25215,16,0,38,16,2,2,0,21863,2,7,32,19,90,0,0,4,1508,0
Season 03,Ramattra,Tank,15,1,107,16190,6,0,26,11,2,1,372,12363,1,9,103,12,187,5,0,0,641,0
Season 03,Reaper,Damage,38,7,994,57836,46,0,96,58,5,2,8030,50375,2,9,311,43,352,0,8030,14,3359,0
Season 03,Reinhardt,Tank,13,0,0,17332,13,0,39,26,1,0,0,15577,0,9,102,11,217,3,0,2,1085,0
Season 03,Sigma,Tank,2,0,0,6199,4,0,4,2,0,0,0,4534,0,3,13,2,17,1,0,0,230,0
Season 03,Sojourn,Damage,85,0,0,104994,54,0,166,81,8,5,0,86805,5,16,466,77,655,0,0,7,5332,0
Season 03,Soldier 76,Damage,204,14,689,216224,109,78,407,203,16,10,30303,180970,10,18,653,174,1405,0,13510,32,11226,0
Season 03,Sombra,Damage,0,0,4,259,0,0,1,1,0,0,0,244,0,1,6,1,6,0,0,0,35,0
Season 03,Symmetra,Damage,65,0,0,50577,34,0,129,64,6,4,0,40619,4,12,213,61,258,0,0,9,2990,0
Season 03,Torbjörn,Damage,12,0,22,17007,9,0,25,13,1,0,0,14667,0,7,62,11,66,0,0,2,871,0
Season 03,Tracer,Damage,10,1,75,6270,7,0,17,7,1,0,0,5174,0,6,60,9,62,0,314,1,436,0
Season 03,Widowmaker,Damage,5,7,12,4319,7,0,12,7,1,0,0,3547,0,5,2,1,6,0,0,2,495,0
Season 03,Winston,Tank,3,0,0,2226,2,0,4,1,0,0,0,1901,0,2,49,3,49,0,0,0,105,0
Season 03,Zarya,Tank,0,0,0,794,2,0,0,0,0,0,0,794,0,0,1,0,1,0,0,0,83,0
Season 03,Zenyatta,Support,197,18,134,124239,101,387,306,109,14,8,122211,93111,8,15,348,130,890,221,2232,9,9901,0
Season 04,Ana,Support,96,0,0,41339,64,156,120,24,11,5,115690,31155,5,10,264,61,1105,97,2751,2,7854,0
Season 04,Ashe,Damage,114,44,215,174686,106,0,245,131,13,5,0,143495,5,12,268,92,740,0,0,23,9371,0
Season 04,Baptiste,Support,49,6,75,28500,26,145,80,31,6,4,69364,23549,4,13,137,43,500,20,4309,4,4025,0
Season 04,Bastion,Damage,248,16,395,411273,168,0,530,282,25,10,0,291386,10,15,544,206,2603,0,0,28,16116,0
Season 04,Brigitte,Support,24,0,0,7336,11,38,32,8,1,1,14739,6670,1,6,129,16,158,18,2265,2,924,0
Season 04,Cassidy,Damage,46,10,55,58797,46,0,118,72,7,4,0,49967,4,9,202,53,429,0,0,8,3939,0
Season 04,Doomfist,Tank,6,0,29,3933,6,0,10,4,1,0,0,3336,0,4,59,3,59,0,0,0,416,0
Season 04,Hanzo,Damage,70,45,105,120047,75,0,183,113,11,5,0,88609,5,10,111,56,488,0,0,34,6798,0
Season 04,Junker Queen,Tank,25,0,0,19861,8,0,36,11,2,1,3478,14695,1,6,242,16,253,0,3478,0,911,0
Season 04,Junkrat,Damage,0,0,0,2086,3,0,1,1,0,0,0,1966,0,1,0,0,0,0,0,1,188,0
Season 04,Kiriko,Support,69,21,92,39377,122,388,114,45,18,9,237991,32126,9,6,698,58,1613,137,0,6,13828,0
Season 04,Lúcio,Support,60,4,37,18316,16,60,73,12,4,3,31800,15187,3,13,279,45,306,45,5028,0,2291,0
Season 04,Mei,Damage,197,0,0,518546,101,0,352,155,16,11,15597,118441,11,14,830,147,1261,122,15597,17,10257,0
Season 04,Mercy,Support,8,5,22,4059,49,181,16,8,8,5,103546,3293,5,6,224,6,464,81,6309,1,5769,0
Season 04,Moira,Support,497,0,0,171585,125,793,651,154,33,21,425951,150570,21,22,1872,323,2718,0,49291,17,19968,0
Season 04,Pharah,Damage,2,0,0,3567,4,0,2,0,0,0,0,3398,0,2,0,0,0,0,0,0,220,0
Season 04,Ramattra,Tank,38,0,270,54278,13,0,75,37,3,1,676,41364,1,19,422,45,672,12,0,1,1962,0
Season 04,Reaper,Damage,48,16,1058,73678,49,0,130,82,5,1,9741,57822,1,10,325,58,628,0,9741,13,3995,0
Season 04,Reinhardt,Tank,19,0,0,28592,18,0,38,19,2,1,0,23269,1,8,124,12,288,5,0,1,1666,0
Season 04,Sigma,Tank,23,0,0,26342,9,0,41,18,2,1,0,22185,1,8,191,25,382,9,0,1,1246,0
Season 04,Soldier 76,Damage,92,8,361,124354,58,31,177,85,9,3,16683,97330,3,10,365,77,786,0,8174,13,6150,0
Season 04,Sombra,Damage,0,0,1,583,1,0,0,0,0,0,130,583,0,0,0,0,0,0,0,0,79,0
Season 04,Symmetra,Damage,281,0,0,245519,145,0,502,221,22,13,0,199310,13,16,885,223,1168,0,0,23,14235,0
Season 04,Torbjörn,Damage,8,2,44,13957,7,0,19,11,1,1,0,10647,1,6,28,10,28,0,0,2,651,0
Season 04,Widowmaker,Damage,18,42,72,28791,24,0,75,57,4,3,0,26824,3,9,7,12,59,0,0,21,2216,0
Season 04,Winston,Tank,13,0,0,7801,4,0,20,7,1,0,0,7058,0,11,95,12,153,0,0,0,561,0
Season 04,Wrecking Ball,Tank,1,0,3,195,2,0,1,0,0,0,0,195,0,1,5,0,5,0,0,0,50,0
Season 04,Zenyatta,Support,31,4,26,28900,25,70,56,25,4,2,29146,20861,2,7,58,29,397,36,528,3,2467,0
Season 05,Ana,Support,3,0,0,2094,1,3,4,1,0,0,1615,1332,0,4,0,1,0,4,0,0,229,0
Season 05,Ashe,Damage,61,22,117,107458,51,0,140,79,6,3,0,83344,3,9,184,63,739,0,0,16,4920,1085
Season 05,Baptiste,Support,2,0,6,1350,3,4,3,1,0,0,2628,1350,0,2,8,3,76,0,432,0,259,0
Season 05,Bastion,Damage,101,3,181,233023,102,0,238,137,11,4,0,144802,4,16,304,95,1221,0,0,7,8217,1880
Season 05,Brigitte,Support,3,0,0,3053,3,12,5,2,0,0,3535,2285,0,3,18,2,18,3,797,0,233,15
Season 05,Cassidy,Damage,15,3,16,18531,15,0,34,19,2,2,0,15341,2,8,22,13,33,0,0,1,1133,182
Season 05,D.Va,Tank,5,1,192,3768,1,0,9,4,0,0,0,3426,0,5,1,2,9,0,0,0,188,0
Season 05,Genji,Damage,2,0,4,2520,3,0,3,1,0,0,0,1988,0,3,1,1,3,0,0,0,162,0
Season 05,Hanzo,Damage,14,11,23,23264,14,0,37,23,2,1,0,18711,1,8,51,15,78,0,0,6,1288,254
Season 05,Junker Queen,Tank,26,0,0,20103,12,0,34,7,2,1,3875,18054,1,8,89,6,250,0,3875,0,1100,129
Season 05,Junkrat,Damage,1,0,0,2211,1,0,2,1,0,0,0,1066,0,2,0,2,0,0,0,1,61,0
Season 05,Kiriko,Support,14,3,21,7271,22,63,23,9,2,2,30959,6211,2,6,117,13,479,22,0,0,2129,110
Season 05,Lúcio,Support,4,2,6,1839,4,3,6,2,0,0,3609,1674,0,6,30,3,115,1,701,0,271,26
Season 05,Mei,Damage,92,0,0,213935,46,0,154,62,6,4,6954,50447,4,13,589,93,925,69,6954,8,4369,979
Season 05,Mercy,Support,1,0,1,1013,17,54,3,2,3,1,40044,658,1,1,136,3,181,28,2879,0,2059,439
Season 05,Moira,Support,50,0,0,24796,33,88,63,13,5,1,63532,21526,1,11,309,35,587,0,10021,2,2986,629
Season 05,Orisa,Tank,4,0,0,11227,1,0,9,5,1,0,0,6365,0,5,78,5,81,3,0,0,335,77
Season 05,Ramattra,Tank,48,2,351,63547,26,0,87,39,3,2,1473,52564,2,17,397,40,728,16,0,1,2454,492
Season 05,Reaper,Damage,33,7,737,51116,34,0,78,45,4,1,7747,42487,1,16,273,32,316,0,7747,7,2634,431
Season 05,Reinhardt,Tank,14,0,0,20558,12,0,37,23,2,2,0,18503,2,8,119,18,152,3,0,2,1138,292
Season 05,Sigma,Tank,360,0,0,412576,132,0,631,269,26,17,0,323913,17,22,3286,353,5744,94,0,18,18189,5435
Season 05,Soldier 76,Damage,6,4,74,25789,22,10,29,23,2,0,3653,23546,0,5,47,9,72,0,2236,3,1463,187
Season 05,Symmetra,Damage,17,0,0,19790,16,0,29,12,2,0,55,16775,0,5,98,13,106,0,0,4,1045,229
Season 05,Winston,Tank,4,0,0,5553,5,0,4,0,0,0,0,5490,0,3,65,2,160,0,0,0,340,51
Season 05,Zarya,Tank,15,0,0,15383,7,11,22,7,1,1,0,13839,1,10,157,14,159,1,0,0,712,169
Season 05,Zenyatta,Support,6,0,6,4776,4,15,10,4,1,1,3881,3876,1,6,25,6,25,7,139,2,408,27
Season 06,Ana,Support,85,0,0,32070,55,133,119,34,13,6,94302,26173,6,9,395,63,862,96,1843,4,6543,904
Season 06,Ashe,Damage,134,18,172,154557,90,0,232,98,13,5,0,133066,5,13,300,90,837,0,0,14,8614,944
Season 06,Baptiste,Support,10,1,16,3692,6,14,14,4,1,1,7627,3228,1,4,16,6,43,2,579,1,631,1
Season 06,Bastion,Damage,191,13,239,291588,100,0,387,196,16,9,5306,209170,9,23,531,197,2120,0,0,8,11472,2670
Season 06,Brigitte,Support,19,0,0,7319,10,36,23,4,2,1,14583,6199,1,7,128,12,141,16,2154,0,902,180
Season 06,Cassidy,Damage,55,8,70,68755,54,0,115,60,7,5,0,62577,5,11,174,46,236,0,0,12,4837,443
Season 06,D.Va,Tank,9,0,99,4926,2,0,12,3,0,0,0,4821,0,9,16,3,16,0,0,0,279,48
Season 06,Doomfist,Tank,60,4,496,64970,37,0,126,64,6,2,0,58908,2,14,545,44,729,0,0,3,3723,553
Season 06,Echo,Damage,6,0,10,4151,5,0,10,4,1,0,2,3168,0,5,17,5,21,0,0,0,350,36
Season 06,Genji,Damage,2,0,11,4987,5,0,3,1,1,1,0,3683,1,1,11,2,14,0,0,0,368,8
Season 06,Hanzo,Damage,70,37,95,96582,64,0,188,118,10,6,0,86362,6,10,206,60,570,0,0,27,6461,806
Season 06,Illari,Support,109,15,134,77473,96,0,195,85,14,6,155070,64315,6,11,444,81,1368,19,10255,9,9657,938
Season 06,Junker Queen,Tank,28,0,0,29913,14,0,56,28,3,2,5131,25389,2,10,269,26,297,0,5131,2,1445,314
Season 06,Junkrat,Damage,9,0,0,11851,6,0,16,7,1,1,0,10051,1,6,15,2,17,1,0,4,559,1
Season 06,Kiriko,Support,12,4,14,6257,20,79,19,7,4,2,53009,5263,2,6,167,11,480,24,0,1,2885,247
Season 06,Lifeweaver,Support,31,0,125,8444,46,213,37,6,11,6,145468,7647,6,5,376,21,804,0,7556,0,7431,265
Season 06,Lúcio,Support,17,0,44,8423,12,19,20,3,1,0,18402,7413,0,5,167,14,246,8,3598,0,1172,133
Season 06,Mei,Damage,81,0,0,225081,51,0,134,53,7,2,6951,50288,2,7,579,68,940,49,6951,3,4711,733
Season 06,Mercy,Support,37,0,0,309,6,33,2,2,1,1,13526,289,1,1,34,0,80,17,990,0,848,73
Season 06,Moira,Support,183,0,0,73838,71,306,253,70,13,7,188715,63904,7,19,729,119,1294,0,28210,4,9377,1098
Season 06,Orisa,Tank,6,0,0,5604,4,0,7,1,1,0,0,4174,0,4,26,6,27,5,0,0,285,2
Season 06,Pharah,Damage,7,0,0,10937,9,0,14,7,1,1,0,10179,1,3,5,1,5,0,0,6,702,73
Season 06,Ramattra,Tank,79,2,516,84444,39,0,137,58,5,2,871,66744,2,14,531,64,996,27,0,2,4085,620
Season 06,Reaper,Damage,38,7,587,35664,24,0,68,30,3,2,5095,29520,2,8,151,31,250,0,5095,5,2065,336
Season 06,Reinhardt,Tank,12,0,0,19365,14,0,27,15,1,0,0,14929,0,11,133,10,163,4,0,1,1162,151
Season 06,Roadhog,Tank,2,0,67,2570,4,0,2,0,0,0,1632,2570,0,2,20,0,72,1,1632,0,232,0
Season 06,Sigma,Tank,281,0,0,328582,108,0,515,233,21,13,0,269427,13,17,2655,278,5899,77,0,16,15369,4031
Season 06,Sojourn,Damage,69,0,0,79519,42,0,124,55,7,1,0,64644,1,15,175,44,275,0,0,6,4160,561
Season 06,Soldier 76,Damage,139,17,455,166493,76,52,273,134,11,7,23547,141031,7,18,357,108,785,0,11743,13,8196,1193
Season 06,Sombra,Damage,0,0,10,419,1,0,1,1,0,0,25,419,0,1,3,0,5,0,0,0,68,0
Season 06,Symmetra,Damage,204,0,0,172058,93,0,343,139,16,10,720,142822,10,17,592,148,977,0,0,13,9822,1696
Season 06,Torbjörn,Damage,26,6,51,36335,16,0,50,24,3,1,0,30846,1,9,80,20,166,0,0,3,1766,269
Season 06,Tracer,Damage,16,0,142,7993,5,0,23,7,1,1,0,7047,1,10,12,4,61,0,675,2,637,75
Season 06,Widowmaker,Damage,14,8,11,9682,13,0,28,14,2,1,0,8668,1,7,6,8,52,0,0,4,1142,64
Season 06,Winston,Tank,3,0,0,5163,7,0,4,1,1,0,0,4527,0,2,67,4,73,0,0,0,457,31
Season 06,Zarya,Tank,21,0,0,37736,18,7,35,14,2,0,0,32387,0,9,214,18,369,4,0,0,1593,200
Season 07,Ana,Support,70,0,0,33836,60,128,98,28,9,3,97457,26437,3,6,314,35,840,84,1066,2,6396,512
Season 07,Ashe,Damage,18,4,21,22737,14,0,31,13,2,1,0,18619,1,8,39,9,173,0,0,0,1252,74
Season 07,Baptiste,Support,1,0,0,645,1,7,2,1,0,0,2504,558,0,2,1,1,1,1,112,0,134,14
Season 07,Bastion,Damage,63,7,74,98311,40,0,134,71,6,4,0,70289,4,10,186,70,504,0,0,5,3900,512
Season 07,Brigitte,Support,1,0,0,231,1,2,1,0,0,0,991,196,0,1,2,0,2,0,92,0,79,0
Season 07,Cassidy,Damage,41,4,66,67127,50,0,101,60,7,2,0,55861,2,16,272,41,315,0,0,3,4176,581
Season 07,Doomfist,Tank,37,2,338,36652,26,0,59,22,3,2,0,31977,2,10,297,27,333,0,0,0,2109,263
Season 07,Hanzo,Damage,185,123,256,246335,135,0,483,298,20,10,0,205908,10,18,557,183,1883,0,0,56,14915,2423
Season 07,Illari,Support,9,2,12,7932,14,0,17,8,2,0,16350,6224,0,5,24,4,78,1,1001,1,1140,59
Season 07,Kiriko,Support,25,5,23,10829,61,178,36,11,10,6,108534,8729,6,4,531,19,911,57,0,1,6210,360
Season 07,Lifeweaver,Support,13,2,54,3987,30,96,21,8,5,2,57857,3040,2,4,185,13,282,0,3210,0,3397,186
Season 07,Lúcio,Support,1,0,0,30,1,1,1,0,1,1,537,30,1,1,5,0,5,1,44,0,262,0
Season 07,Mei,Damage,11,0,0,49593,12,0,21,10,2,0,2001,11118,0,7,49,5,63,10,2001,0,952,142
Season 07,Mercy,Support,2,0,2,670,15,34,4,2,1,1,19489,550,1,1,25,0,140,16,918,0,1266,60
Season 07,Moira,Support,48,0,0,16401,16,57,61,13,2,0,39272,15562,0,13,65,21,87,0,6359,0,1904,166
Season 07,Orisa,Tank,2,0,14,1463,3,0,2,0,0,0,0,1463,0,1,0,1,2,2,0,0,189,0
Season 07,Ramattra,Tank,7,0,138,16935,7,0,19,12,1,0,99,12748,0,9,52,9,182,0,0,0,733,119
Season 07,Reaper,Damage,15,7,450,25778,13,0,37,22,2,1,3084,18904,1,7,366,21,427,0,3084,6,1327,184
Season 07,Reinhardt,Tank,2,0,0,1253,2,0,2,0,0,0,0,1253,0,2,71,1,71,0,0,0,150,0
Season 07,Sigma,Tank,34,0,0,43248,14,0,64,30,3,2,0,37482,2,12,212,36,468,3,0,1,1990,398
Season 07,Sojourn,Damage,11,0,43,13569,9,0,15,4,1,0,0,10983,0,7,71,6,74,0,0,0,666,61
Season 07,Soldier 76,Damage,112,3,263,119848,58,39,221,109,9,5,16266,98447,5,15,498,96,890,0,9017,8,5970,935
Season 07,Sombra,Damage,28,1,80,12553,8,0,44,16,2,1,408,11562,1,13,54,25,127,23,0,2,1094,192
Season 07,Symmetra,Damage,19,0,0,23147,17,0,31,12,2,0,72,19386,0,7,82,11,94,0,0,0,1459,104
Season 07,Widowmaker,Damage,0,0,1,459,1,0,0,0,0,0,0,459,0,0,5,0,13,0,0,0,52,0
Season 07,Wrecking Ball,Tank,1,0,2,651,1,0,1,0,0,0,0,526,0,1,18,0,18,0,0,0,40,0
Season 07,Zarya,Tank,1,0,0,396,1,2,2,2,0,0,0,396,0,2,40,2,40,0,0,0,85,18
Season 07,Zenyatta,Support,4,1,3,2254,2,7,7,3,0,0,1877,1918,0,4,11,3,55,3,53,0,198,9
Season 08,Ana,Support,93,0,0,44971,84,181,119,26,15,6,139495,34723,6,6,536,58,1235,110,2293,0,9880,1148
Season 08,Ashe,Damage,216,53,321,302759,176,0,480,264,22,14,0,258454,14,15,551,149,1940,0,0,34,16047,2419
Season 08,Baptiste,Support,49,2,52,22460,57,129,60,11,9,4,86663,16773,4,15,139,24,262,21,6782,1,5264,425
Season 08,Bastion,Damage,82,5,77,106178,52,0,158,76,6,3,0,75575,3,11,276,68,756,0,0,5,4881,931
Season 08,Brigitte,Support,4,0,0,5243,10,9,5,0,1,0,9342,4458,0,4,51,2,57,3,1470,1,608,52
Season 08,Cassidy,Damage,120,27,135,145451,83,0,265,145,13,7,0,125873,7,11,430,104,571,0,0,11,8508,1346
Season 08,Doomfist,Tank,36,6,289,39163,30,0,63,27,4,2,1139,33517,2,6,412,25,503,0,0,3,2671,298
Season 08,Echo,Damage,8,2,32,6046,5,0,16,8,1,0,0,6046,0,7,19,2,70,0,0,1,460,57
Season 08,Genji,Damage,4,0,3,3504,2,0,5,1,0,0,0,2548,0,3,13,2,15,0,0,0,155,48
Season 08,Hanzo,Damage,124,115,276,221213,143,0,388,264,22,10,0,180665,10,14,245,107,1329,0,0,63,14491,2059
Season 08,Illari,Support,9,1,12,7187,11,0,15,6,2,1,18220,6316,1,4,41,3,62,1,1012,1,1044,25
Season 08,Junker Queen,Tank,30,8,328,38448,16,0,71,41,3,1,8125,34369,1,11,240,25,275,0,8125,4,1827,431
Season 08,Junkrat,Damage,42,0,0,71133,24,0,106,63,6,5,0,53613,5,18,119,28,149,26,0,19,3739,615
Season 08,Kiriko,Support,52,14,54,20159,67,333,87,35,15,8,208201,17054,8,6,507,43,1285,122,0,1,10112,1436
Season 08,Lifeweaver,Support,42,3,176,11647,71,404,58,16,16,9,244533,10067,9,7,249,30,1177,0,11979,0,12108,1340
Season 08,Lúcio,Support,29,1,29,7130,11,30,36,7,2,2,19628,6576,2,8,56,7,70,24,3907,0,1340,151
Season 08,Mauga,Tank,0,0,11,655,1,0,0,0,0,0,49,487,0,0,8,0,8,0,49,0,72,0
Season 08,Mei,Damage,152,0,0,445844,86,0,279,127,14,5,15223,110046,5,12,1163,128,1544,84,15223,13,9042,1817
Season 08,Mercy,Support,12,4,20,3285,53,229,19,7,9,4,127437,2919,4,4,223,7,570,102,7866,1,7180,1725
Season 08,Moira,Support,302,0,0,114006,129,476,407,105,22,11,309472,102522,11,14,1000,189,1695,0,39233,6,14627,2412
Season 08,Orisa,Tank,14,0,76,17790,10,0,25,11,1,1,0,14165,1,6,156,18,259,4,0,1,824,106
Season 08,Pharah,Damage,0,0,0,175,2,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,73,0
Season 08,Ramattra,Tank,11,0,147,16065,12,0,25,14,2,0,367,14692,0,6,192,11,227,3,0,1,1001,141
Season 08,Reaper,Damage,81,11,1287,90175,46,0,168,87,8,4,13496,72576,4,10,378,58,601,0,13496,13,4676,697
Season 08,Reinhardt,Tank,3,0,0,8714,8,0,9,6,1,0,0,6828,0,4,30,3,64,0,0,1,502,45
Season 08,Roadhog,Tank,4,0,13,3262,1,0,6,1,0,0,1885,2217,0,6,45,5,53,1,1885,0,204,32
Season 08,Sigma,Tank,177,0,0,167255,58,0,298,121,12,6,0,138322,6,15,1363,159,2068,50,0,5,7940,1857
Season 08,Sojourn,Damage,18,0,96,20223,12,0,31,13,2,1,0,17326,1,6,49,10,54,0,0,0,1500,80
Season 08,Soldier 76,Damage,272,26,796,339107,189,66,566,294,27,13,46447,275997,13,14,634,198,1040,0,27065,40,17954,2703
Season 08,Sombra,Damage,71,11,268,48400,47,0,125,54,7,2,1461,44806,2,13,259,50,459,63,0,6,4672,502
Season 08,Symmetra,Damage,19,0,0,26780,15,0,31,12,2,0,109,21680,0,9,50,8,50,0,0,2,1490,306
Season 08,Torbjörn,Damage,11,2,14,11686,5,0,19,8,1,1,0,8462,1,7,26,9,36,0,0,2,680,122
Season 08,Tracer,Damage,46,5,453,37935,35,0,89,43,5,1,0,33175,1,10,199,31,265,0,3107,5,3210,396
Season 08,Widowmaker,Damage,35,34,71,39078,31,0,94,59,5,2,0,34905,2,9,7,21,134,0,0,16,3613,360
Season 08,Winston,Tank,8,0,0,5781,4,0,8,0,1,0,0,4954,0,7,103,3,103,0,0,0,389,79
Season 08,Zarya,Tank,6,0,0,5634,6,2,6,0,0,0,0,5248,0,3,70,6,72,2,0,0,351,30
